nomem_encr,cf19l_m,cf19l390,cf19l391,cf19l392,cf19l393,cf19l394,cf19l395,cf19l396,cf19l397
54283,201910,1,3,3,21-10-2019,19:11:27,21-10-2019,19:17:44,377
54286,201909,4,4,4,02-09-2019,15:27:27,02-09-2019,15:37:34,607
54288,201909,3,3,3,09-09-2019,15:56:13,09-09-2019,16:01:00,287
54289,201909,3,3,3,03-09-2019,01:33:18,03-09-2019,01:41:55,517
54289,201909,3,3,2,21-09-2019,14:55:21,21-09-2019,14:58:34,193
54291,201909,3,3,3,13-09-2019,12:21:29,13-09-2019,12:23:27,118
54291,201909,3,3,3,03-09-2019,17:27:18,03-09-2019,17:31:28,250
54292,201909,4,4,4,10-09-2019,17:32:14,10-09-2019,17:37:07,293
54293,201909,5,5,5,05-09-2019,20:58:38,05-09-2019,21:06:40,482
54294,201909,2,2,2,23-09-2019,13:08:38,23-09-2019,13:13:33,295
54295,201909,1,5,5,18-09-2019,13:04:16,18-09-2019,13:07:28,192
54297,201910,3,5,5,23-10-2019,11:20:32,23-10-2019,11:40:34,1202
54297,201909,5,5,4,23-09-2019,20:42:29,23-09-2019,20:47:48,319
54299,201910,5,5,5,21-10-2019,20:39:33,21-10-2019,20:58:48,1155
54299,201909,3,4,3,06-09-2019,11:37:35,06-09-2019,11:49:47,732
54300,201909,1,3,5,03-09-2019,10:33:25,03-09-2019,10:37:38,253
54302,201909,1,4,5,16-09-2019,15:28:39,16-09-2019,15:41:17,758
54303,201909,1,3,3,24-09-2019,23:51:13,24-09-2019,23:59:42,509
54307,201909,3,3,3,23-09-2019,08:47:27,23-09-2019,08:56:23,536
54309,201909,3,3,4,03-09-2019,12:48:01,03-09-2019,12:49:49,108
54310,201909,1,3,3,04-09-2019,13:23:39,04-09-2019,13:49:17,1538
54310,201909,5,5,5,23-09-2019,21:00:32,23-09-2019,21:18:32,1080
54311,201909,5,5,5,05-09-2019,01:01:49,05-09-2019,01:04:30,161
54315,201909,4,4,3,08-09-2019,20:39:05,08-09-2019,20:44:31,326
54316,201909,4,3,2,08-09-2019,21:19:33,08-09-2019,21:29:10,577
54316,201909,3,3,3,24-09-2019,16:04:44,24-09-2019,16:10:32,348
54322,201909,3,3,2,02-09-2019,19:04:05,02-09-2019,19:17:03,778
54323,201909,3,3,4,22-09-2019,17:59:08,22-09-2019,18:00:08,60
54325,201909,3,3,3,16-09-2019,15:12:55,16-09-2019,15:25:40,765
54325,201909,3,3,3,05-09-2019,11:07:35,05-09-2019,11:13:21,346
54328,201909,3,4,4,03-09-2019,11:10:27,03-09-2019,11:20:38,611
54330,201909,3,1,1,24-09-2019,21:25:30,24-09-2019,21:27:55,145
54330,201909,3,4,4,02-09-2019,18:58:22,02-09-2019,19:02:39,257
54330,201909,3,3,3,21-09-2019,16:59:07,21-09-2019,17:03:52,285
54330,201909,1,5,5,06-09-2019,12:37:51,06-09-2019,12:42:24,273
54332,201909,3,5,5,09-09-2019,17:13:24,09-09-2019,17:24:13,649
54333,201909,2,5,5,24-09-2019,12:11:00,24-09-2019,12:18:59,479
54335,201910,1,1,4,13-10-2019,20:50:29,13-10-2019,21:04:02,813
54338,201909,3,2,2,03-09-2019,09:59:08,03-09-2019,10:02:40,212
54339,201909,2,3,3,03-09-2019,11:43:16,03-09-2019,11:49:06,350
54339,201909,3,3,3,22-09-2019,10:09:28,22-09-2019,10:33:55,1467
54340,201909,4,4,4,10-09-2019,13:23:11,10-09-2019,13:26:39,208
54342,201909,4,4,4,10-09-2019,10:57:22,10-09-2019,11:00:33,191
54342,201909,5,5,5,15-09-2019,19:13:00,15-09-2019,19:20:53,473
54344,201909,3,3,5,03-09-2019,15:56:09,03-09-2019,16:14:04,1075
54345,201909,2,4,3,03-09-2019,20:13:18,03-09-2019,20:21:58,520
54345,201909,5,5,4,02-09-2019,17:07:40,02-09-2019,17:13:27,347
54347,201909,5,4,4,03-09-2019,14:44:21,03-09-2019,14:49:17,296
54348,201909,3,3,3,20-09-2019,18:41:44,20-09-2019,18:47:08,324
54348,201909,3,3,3,02-09-2019,13:00:59,02-09-2019,13:11:50,651
54350,201909,3,4,4,19-09-2019,14:11:55,19-09-2019,14:18:08,373
54350,201909,5,5,5,03-09-2019,21:59:07,04-09-2019,13:50:00,57053
54350,201909,2,5,5,23-09-2019,13:38:42,23-09-2019,13:52:29,827
54351,201909,3,4,4,02-09-2019,18:59:51,02-09-2019,19:02:05,134
54352,201910,3,3,3,22-10-2019,20:49:31,22-10-2019,20:53:40,249
54357,201909,4,3,4,02-09-2019,18:31:58,02-09-2019,18:36:37,279
54357,201909,2,3,4,03-09-2019,13:23:21,03-09-2019,13:26:48,207
54358,201909,3,4,5,09-09-2019,17:16:56,09-09-2019,17:23:23,387
54359,201910,2,4,3,14-10-2019,11:27:23,14-10-2019,11:35:21,478
54360,201910,4,5,3,29-10-2019,14:57:32,29-10-2019,15:02:18,286
54360,201909,3,4,4,02-09-2019,20:04:23,02-09-2019,20:11:52,449
54360,201909,3,3,3,24-09-2019,15:34:13,24-09-2019,15:39:05,292
54361,201909,5,5,3,11-09-2019,23:01:46,11-09-2019,23:06:02,256
54361,201909,4,5,5,14-09-2019,12:51:44,14-09-2019,12:57:23,339
54363,201909,5,4,4,24-09-2019,16:40:19,24-09-2019,16:46:11,352
54363,201909,3,4,4,16-09-2019,13:14:08,16-09-2019,13:17:27,199
54364,201909,3,3,3,23-09-2019,17:14:35,23-09-2019,17:16:20,105
54365,201909,4,5,5,16-09-2019,15:04:10,16-09-2019,15:12:16,486
54365,201909,4,4,3,16-09-2019,20:38:20,16-09-2019,21:20:13,2513
54366,201909,3,3,3,08-09-2019,11:23:24,08-09-2019,11:25:48,144
54366,201909,3,5,5,20-09-2019,10:31:05,20-09-2019,10:36:39,334
54369,201909,1,1,5,19-09-2019,12:29:31,19-09-2019,12:33:00,209
54371,201909,2,3,2,16-09-2019,15:32:34,16-09-2019,15:40:17,463
54372,201910,3,4,4,08-10-2019,12:44:55,15-10-2019,10:36:11,597076
54375,201909,3,3,3,17-09-2019,14:45:26,17-09-2019,14:51:02,336
54376,201909,4,5,5,04-09-2019,19:38:42,04-09-2019,20:18:07,2365
54376,201909,5,5,5,16-09-2019,08:38:05,16-09-2019,08:40:30,145
54376,201909,4,4,4,07-09-2019,14:17:31,07-09-2019,14:21:36,245
54380,201909,3,4,4,03-09-2019,08:35:14,03-09-2019,08:40:56,342
54380,201909,4,5,5,14-09-2019,21:40:18,14-09-2019,21:47:38,440
54385,201909,2,3,4,05-09-2019,11:30:44,05-09-2019,11:36:59,375
54386,201909,4,5,5,05-09-2019,10:37:53,05-09-2019,10:44:07,374
54388,201909,5,5,5,08-09-2019,15:31:16,08-09-2019,15:43:36,740
54388,201909,3,4,4,16-09-2019,13:29:23,16-09-2019,14:07:28,2285
54388,201909,3,4,4,03-09-2019,09:54:15,03-09-2019,09:57:11,176
54390,201909,3,3,3,21-09-2019,16:55:46,21-09-2019,17:00:52,306
54391,201909,5,4,4,23-09-2019,17:46:15,23-09-2019,17:53:48,453
54392,201909,2,4,4,02-09-2019,17:00:14,02-09-2019,17:05:47,333
54393,201909,1,5,5,23-09-2019,13:44:28,23-09-2019,13:48:08,220
54394,201909,3,5,5,03-09-2019,12:17:42,03-09-2019,12:24:40,418
54395,201909,5,5,5,22-09-2019,17:31:51,22-09-2019,17:37:19,328
54397,201909,5,5,5,17-09-2019,13:15:35,17-09-2019,13:19:26,231
54399,201909,2,3,3,02-09-2019,20:57:25,02-09-2019,21:01:01,216
54399,201909,5,5,5,02-09-2019,12:39:47,02-09-2019,12:44:19,272
54399,201910,4,4,3,09-10-2019,08:44:26,09-10-2019,08:54:55,629
54400,201909,1,3,4,07-09-2019,00:28:16,07-09-2019,00:31:57,221
54401,201909,3,4,4,08-09-2019,17:57:29,08-09-2019,18:04:17,408
54402,201909,5,5,4,22-09-2019,16:57:22,22-09-2019,17:03:51,389
54403,201909,3,2,2,18-09-2019,14:42:28,18-09-2019,14:49:05,397
54403,201909,4,4,4,22-09-2019,19:19:05,22-09-2019,19:29:19,614
54404,201909,4,3,2,05-09-2019,00:53:53,05-09-2019,00:59:39,346
54404,201909,5,5,5,18-09-2019,14:37:02,18-09-2019,14:42:28,326
54406,201909,3,4,3,24-09-2019,21:32:45,24-09-2019,21:40:34,469
54407,201909,1,5,5,23-09-2019,16:07:00,23-09-2019,16:10:13,193
54407,201909,1,4,5,02-09-2019,19:17:47,02-09-2019,19:22:08,261
54408,201909,2,2,2,03-09-2019,16:33:49,03-09-2019,16:37:15,206
54409,201909,2,3,3,24-09-2019,20:36:23,24-09-2019,20:43:39,436
54410,201909,5,5,5,10-09-2019,14:14:43,10-09-2019,14:17:21,158
54412,201909,3,3,3,02-09-2019,14:36:42,02-09-2019,14:40:37,235
54414,201909,5,5,4,02-09-2019,15:40:18,02-09-2019,15:46:12,354
54415,201910,4,4,4,08-10-2019,19:54:10,08-10-2019,19:57:42,212
54416,201909,5,5,5,19-09-2019,19:49:00,19-09-2019,19:50:37,97
54416,201909,3,4,4,23-09-2019,17:51:19,23-09-2019,17:56:09,290
54417,201910,5,5,5,22-10-2019,22:33:04,22-10-2019,22:37:30,266
54417,201909,3,4,5,21-09-2019,14:51:57,21-09-2019,14:55:50,233
